chr2R,12037298,12038851,128up,+
chr3R,18242531,18250550,14-3-3epsilon,+
chr2R,10099677,10109687,14-3-3zeta,+
chr3R,14124163,14125548,140up,-
chrX,23211192,23213166,18SrRNA-Psi:CR41602,+
chrX,23280998,23282931,18SrRNA-Psi:CR45861,-
chrrDNA,43484,45478,18SrRNA:CR41548,+
chrrDNA,55965,57959,18SrRNA:CR45838,+
chrrDNA,67668,69662,18SrRNA:CR45841,+
chr2R,20111511,20116932,18w,+
chr3L,13994231,13996571,26-29-p,+
chrrDNA,16936,22940,28SrRNA-Psi:CR40596,+
chrX,23239718,23240975,28SrRNA-Psi:CR40741,+
chrX,23261772,23262666,28SrRNA-Psi:CR41609,-
chrrDNA,4492,5312,28SrRNA-Psi:CR45848,-
chrrDNA,35941,38740,28SrRNA-Psi:CR45851,+
chrX,23200802,23201056,28SrRNA-Psi:CR45853,+
chrX,23205822,23206525,28SrRNA-Psi:CR45855,+
chrX,23214452,23217140,28SrRNA-Psi:CR45859,+
chrX,23270802,23271158,28SrRNA-Psi:CR45860,-
chrX,23278007,23280010,28SrRNA-Psi:CR45862,-
chrrDNA,46771,49485,28SrRNA:CR45837,+
chrrDNA,70955,74924,28SrRNA:CR45844,+
chrX,23205409,23205438,2SrRNA-Psi:CR40677,+
chrrDNA,16526,16555,2SrRNA-Psi:CR45850,+
chrX,23214040,23214069,2SrRNA-Psi:CR45858,+
chrrDNA,46356,46385,2SrRNA:CR45836,+
chrrDNA,58805,58834,2SrRNA:CR45840,+
chrrDNA,70540,70569,2SrRNA:CR45843,+
chrX,23291700,23291729,2SrRNA:CR45864,+
chr3R,13121951,13155687,2mit,-
chr3L,1351116,1352853,312,+
chr4,951542,958392,4E-T,-
chr2R,19067155,19121958,5-HT1A,+
chr2R,19022325,19032642,5-HT1B,-
chr3R,4612870,4633304,5-HT2A,+
chr3R,8578205,8629996,5-HT2B,+
chr3R,30968236,31016875,5-HT7,-
chrrDNA,16375,16497,5.8SrRNA-Psi:CR45849,+
chrX,23205258,23205380,5.8SrRNA-Psi:CR45854,+
chrX,23213889,23214011,5.8SrRNA-Psi:CR45857,+
chrX,23291549,23291671,5.8SrRNA-Psi:CR45863,+
chrX,23280155,23280277,5.8SrRNA:CR40454,-
chrrDNA,58654,58776,5.8SrRNA:CR45839,+
chrrDNA,70389,70511,5.8SrRNA:CR45842,+
chrrDNA,46205,46327,5.8SrRNA:CR45852,+
chr3R,25040427,25045151,5PtaseI,-
chr2R,19765021,19765163,5SrRNA-Psi:CR33356,-
chr2R,19762427,19762570,5SrRNA-Psi:CR33363,-
chr2R,19759474,19759610,5SrRNA-Psi:CR33371,-
chr2R,19742876,19743018,5SrRNA-Psi:CR33416,-
chr2R,19766144,19766278,5SrRNA:CR33353,-
chr2R,19765775,19765909,5SrRNA:CR33354,-
chr2R,19765409,19765543,5SrRNA:CR33355,-
chr2R,19764648,19764782,5SrRNA:CR33357,-
chr2R,19764289,19764423,5SrRNA:CR33358,-
chr2R,19763913,19764047,5SrRNA:CR33359,-
chr2R,19763544,19763678,5SrRNA:CR33360,-
chr2R,19763175,19763309,5SrRNA:CR33361,-
chr2R,19762802,19762936,5SrRNA:CR33362,-
chr2R,19762068,19762202,5SrRNA:CR33364,-
chr2R,19761702,19761836,5SrRNA:CR33365,-
chr2R,19761343,19761477,5SrRNA:CR33366,-
chr2R,19760967,19761101,5SrRNA:CR33367,-
chr2R,19760591,19760725,5SrRNA:CR33368,-
chr2R,19760215,19760349,5SrRNA:CR33369,-
chr2R,19759842,19759976,5SrRNA:CR33370,-
chr2R,19759101,19759235,5SrRNA:CR33372,-
chr2R,19758735,19758869,5SrRNA:CR33373,-
chr2R,19758362,19758496,5SrRNA:CR33374,-
chr2R,19757993,19758127,5SrRNA:CR33375,-
chr2R,19757624,19757758,5SrRNA:CR33376,-
chr2R,19757255,19757389,5SrRNA:CR33377,-
chr2R,19756879,19757013,5SrRNA:CR33378,-
chr2R,19756510,19756644,5SrRNA:CR33379,-
chr2R,19756141,19756275,5SrRNA:CR33380,-
chr2R,19755772,19755906,5SrRNA:CR33381,-
chr2R,19755403,19755537,5SrRNA:CR33382,-
chr2R,19755034,19755168,5SrRNA:CR33383,-
chr2R,19754665,19754799,5SrRNA:CR33384,-
chr2R,19754296,19754430,5SrRNA:CR33385,-
chr2R,19753927,19754061,5SrRNA:CR33386,-
chr2R,19753558,19753692,5SrRNA:CR33387,-
chr2R,19753189,19753323,5SrRNA:CR33388,-
chr2R,19752816,19752950,5SrRNA:CR33389,-
chr2R,19752457,19752591,5SrRNA:CR33390,-
chr2R,19752096,19752229,5SrRNA:CR33391,-
chr2R,19751727,19751861,5SrRNA:CR33392,-
chr2R,19751358,19751492,5SrRNA:CR33393,-
chr2R,19750989,19751123,5SrRNA:CR33394,-
chr2R,19750620,19750754,5SrRNA:CR33395,-
chr2R,19750251,19750385,5SrRNA:CR33396,-
chr2R,19749878,19750012,5SrRNA:CR33397,-
chr2R,19749512,19749646,5SrRNA:CR33398,-
chr2R,19749143,19749277,5SrRNA:CR33399,-
chr2R,19748774,19748908,5SrRNA:CR33400,-
chr2R,19748405,19748539,5SrRNA:CR33401,-
chr2R,19748043,19748177,5SrRNA:CR33402,-
chr2R,19747677,19747811,5SrRNA:CR33403,-
chr2R,19747318,19747452,5SrRNA:CR33404,-
